country,population,density,med_age,urban_pop
Burundi,11890784,463,17,0.14
Tunisia,11818619,76,33,0.70
Bolivia,11673021,11,26,0.69
Belgium,11589623,383,42,0.98
Haiti,11402528,414,24,0.57
Cuba,11326616,106,42,0.78
South Sudan,11193725,18,19,0.25
Dominican Republic,10847910,225,28,0.85
Czech Republic (Czechia),10708981,139,43,0.74
Greece,10423054,81,46,0.85
Jordan,10203134,115,24,0.91
Portugal,10196709,111,46,0.66
Azerbaijan,10139177,123,32,0.56
Sweden,10099265,25,41,0.88
Honduras,9904607,89,24,0.57
United Arab Emirates,9890402,118,33,0.86
Hungary,9660351,107,43,0.72
Tajikistan,9537645,68,22,0.27
Belarus,9449323,47,40,0.79
Austria,9006398,109,43,0.57
Papua New Guinea,8947024,20,22,0.13
Serbia,8737371,100,42,0.56
Israel,8655535,400,30,0.93
Switzerland,8654622,219,43,0.74
Togo,8278724,152,19,0.43
Sierra Leone,7976983,111,19,0.43
Hong Kong,7496981,7140,45,0.00
Laos,7275560,32,24,0.36
Paraguay,7132538,18,26,0.62
Bulgaria,6948445,64,45,0.76
Libya,6871292,4,29,0.78
Lebanon,6825445,667,30,0.78
Nicaragua,6624554,55,26,0.57
Kyrgyzstan,6524195,34,26,0.36
El Salvador,6486205,313,28,0.73
Turkmenistan,6031200,13,27,0.53
Singapore,5850342,8358,42,0.00
Denmark,5792202,137,42,0.88
Finland,5540720,18,43,0.86
Congo,5518087,16,19,0.70
Slovakia,5459642,114,41,0.54
Norway,5421241,15,40,0.83
Oman,5106626,16,31,0.87
State of Palestine,5101414,847,21,0.80
Costa Rica,5094118,100,33,0.80
Liberia,5057681,53,19,0.53
Ireland,4937786,72,38,0.63
Central African Republic,4829767,8,18,0.43
New Zealand,4822233,18,38,0.87
Mauritania,4649658,5,20,0.57
Panama,4314767,58,30,0.68
Kuwait,4270571,240,37,0.00
Croatia,4105267,73,44,0.58
Moldova,4033963,123,38,0.43
Georgia,3989167,57,38,0.58
Eritrea,3546421,35,19,0.63
Uruguay,3473730,20,36,0.96
Bosnia and Herzegovina,3280819,64,43,0.52
Mongolia,3278290,2,28,0.67
Armenia,2963243,104,35,0.63
Jamaica,2961167,273,31,0.55
Qatar,2881053,248,32,0.96
Albania,2877797,105,36,0.63
Puerto Rico,2860853,323,44,0.00
Lithuania,2722289,43,45,0.71
Namibia,2540905,3,22,0.55
Gambia,2416668,239,18,0.59
Botswana,2351627,4,24,0.73
Gabon,2225734,9,23,0.87
Lesotho,2142249,71,24,0.31
North Macedonia,2083374,83,39,0.59
Slovenia,2078938,103,45,0.55
Guinea-Bissau,1968001,70,19,0.45
Latvia,1886198,30,44,0.69
Bahrain,1701575,2239,32,0.89
Equatorial Guinea,1402985,50,22,0.73
Trinidad and Tobago,1399488,273,36,0.52
Estonia,1326535,31,42,0.68
Timor-Leste,1318445,89,21,0.33
Mauritius,1271768,626,37,0.41
Cyprus,1207359,131,37,0.67
Eswatini,1160164,67,21,0.30
Djibouti,988000,43,27,0.79
Fiji,896445,49,28,0.59
Réunion,895312,358,36,1.00
Comoros,869601,467,20,0.29
Guyana,786552,4,27,0.27
Bhutan,771608,20,28,0.46
Solomon Islands,686884,25,20,0.23
Macao,649335,21645,39,0.00
Montenegro,628066,47,39,0.68
Luxembourg,625978,242,40,0.88
Western Sahara,597339,2,28,0.87
Suriname,586632,4,29,0.65
Cabo Verde,555987,138,28,0.68
Maldives,540544,1802,30,0.35
Malta,441543,1380,43,0.93
Brunei,437479,83,32,0.80
Guadeloupe,400124,237,44,0.00
Belize,397628,17,25,0.46
Bahamas,393244,39,32,0.86
Martinique,375265,354,47,0.92
Iceland,341243,3,37,0.94
Vanuatu,307145,25,21,0.24
French Guiana,298682,4,25,0.87
Barbados,287375,668,40,0.31
New Caledonia,285498,16,34,0.72
French Polynesia,280908,77,34,0.64
Mayotte,272815,728,20,0.46
Sao Tome & Principe,219159,228,19,0.74
Samoa,198414,70,22,0.18
Saint Lucia,183627,301,34,0.19
Channel Islands,173863,915,43,0.30
Guam,168775,313,31,0.95
Curaçao,164093,370,42,0.89
Kiribati,119449,147,23,0.57
Micronesia,115023,164,24,0.21
Grenada,112523,331,32,0.35
St. Vincent & Grenadines,110940,284,33,0.53
Aruba,106766,593,41,0.44
Tonga,105695,147,22,0.24
U.S. Virgin Islands,104425,298,43,0.96
Seychelles,98347,214,34,0.56
Antigua and Barbuda,97929,223,34,0.26
